id;song;artist;album;genre;requested_by;requested_on;url;done
1;threshold at;whereas bold beside;productive;ingredient amenity yet;overcooked company;2021-06-25T18:29:24;https://trained-parade.info;false
2;guard where blah;giant click subsidence;somersault absent;ugh iris qua;septicaemia captivate what;2021-06-26T03:56:23;https://sturdy-zoologist.com/;true
3;boo gamebird alienated;distorted advanced backdate;questioningly quarterly;next;pursuit;2021-06-25T22:51:13;https://periodic-tenement.net/;false
4;switch by;eek scented;sometimes upbeat modulo;prudent regarding victorious;invigorate lanky;2021-06-25T22:52:29;https://fabulous-hut.biz/;false
5;usually corridor unemployment;fantastic continually;tame;culminate once;swab;2021-06-26T14:33:21;https://worldly-inheritance.biz;true
6;throughout;hasty pug questionably;boldly via yippee;boohoo;sheepishly;2021-06-26T14:03:03;https://complete-compass.net;true
7;around whereas;usually beautifully technologist;what whose;justly actor;ouch below;2021-06-26T03:50:12;https://sticky-thyme.com;false
8;generously except shyly;roughly;barring poison;warble optimistically;annually sway;2021-06-25T18:02:51;https://busy-design.info/;false
9;forenenst indeed than;balalaika;for;deprecate disabuse glower;community chalice scarily;2021-06-26T08:19:52;https://sinful-premier.name;true
10;lever interlink repulsive;judgementally;if ashamed promptly;sleepy figure;nicely beside;2021-06-25T17:02:45;https://blue-sail.info;false
