id;file_path;subfolder;name;sort_name;artist_name;artist_sort_name;album_name;album_sort_name;album_artist_name;album_artist_sort_name;album_released_year;genre_name;genre_sort_name;track_number;playback_length;bit_rate;created_on;tag_version_1;tag_version_2;type_id
1;rave;drink present zowie;merry rapidly;phew accusation;transportation innocently haven;until;kitty enzyme;fulfillment staid;publish the;rocket;22215;desensitise urban;sans agreeable;6060;30085;8468;2021-06-30T14:13:35;false;true;1
2;youthfully per;brr;meatloaf nifty;before below nocturnal;stimulating;excluding pessimistic quietly;wake;furthermore gleefully yet;even although stain;beyond;10022;hinge below;mollify;20919;21482;20020;2021-06-30T20:00:20;false;false;2
3;lap oh since;querulous swan;aha from versus;though;strum geez redistrict;athwart official;what;neighbour;as during;dominate egg juicy;7465;hairy;eyelid;31902;2983;13961;2021-07-01T07:24:14;true;false;3
4;to nearly;till deep shin;gee toward;which;curse kip upright;clam slight blah;ah except;brr discipline what;sensationalize um yippee;unexpectedly;22050;reproachfully majestically ouch;majestically;32226;20357;16501;2021-06-30T19:54:11;false;false;4
5;unnaturally;ick dabble considering;alligator delicious;sunflower failing unlike;ironclad;blah leading supposing;um;during fervently perplex;finally pish;righteously zero likewise;23867;an;yowza;14;5360;22029;2021-07-01T10:57:28;false;false;5
6;first;whose ha;under since;into;cruelly geez;beneath homely;eek cancel;coordination;a sometimes;until quietly;21357;blush although out;excepting loyal partner;2401;16596;12003;2021-06-30T16:08:28;true;false;6
7;allow;systematise ack under;ew prang or;on content;failing woefully;worm disinter;oddly beyond easily;instead;infamous disport confectionery;closely cartilage consequently;10024;whoever meh;glass shofar worriedly;29964;5956;22106;2021-07-01T02:21:40;true;false;7
8;wet when;athwart;kid;from yuck;vaguely lest;deliberately;quick-witted;blazer yippee;although;briefly but;26265;accomplished;void afore ha;8314;17077;9499;2021-07-01T11:01:08;false;false;8
9;ick epitomize;besides;stormy times till;phew;bashfully;perk;greedily from;alliance moat huzzah;really counseling hmph;discard;7932;for knottily however;even;13725;30687;22000;2021-07-01T06:26:57;true;false;9
10;fondly;than;vice bountiful;physically lest;within allergist;lost;if;deficient since whenever;even acidly dull;waffle stupendous well-documented;11113;gratefully though;as by whoever;11563;1395;919;2021-06-30T23:07:49;true;false;10
